PR,URL,Title,Content type,Is rendered page,HTTP status code,Canonical URL,Canonical URL code,Is self-canonical,Is indexable page,Organic traffic,No. of all inlinks,First found at
20,https://firemaths.info/inflation-calculator,Inflation Calculator | Purchasing Power & Historical CPI Data | FireMaths,text/html; charset=utf-8,false,200,https://firemaths.info/inflation-calculator,200,true,true,0,1,
20,https://firemaths.info/net-worth-calculator,Net Worth Calculator: Track Your Financial Health | FireMaths,text/html; charset=utf-8,false,200,https://firemaths.info/net-worth-calculator,200,true,true,0,3,
20,https://firemaths.info/retirement-income-calculator,Retirement Income Calculator: How Long Will Your Savings Last?,text/html; charset=utf-8,false,200,https://firemaths.info/retirement-income-calculator,200,true,true,0,2,
20,https://firemaths.info/cost-of-living-comparison,Cost of Living Comparison Calculator by City | FireMaths,text/html; charset=utf-8,false,200,https://firemaths.info/cost-of-living-comparison,200,true,true,0,1,
20,https://firemaths.info/guide-72t-early-retirement,72(t) SEPP: How to Access Retirement Funds Before 59½ Without Penalty,text/html; charset=utf-8,false,200,https://firemaths.info/guide-72t-early-retirement,200,true,true,0,2,
20,https://firemaths.info/student-loan-calculator,"Student Loan Repayment Calculator: Standard, IBR & PSLF Compared | FireMaths",text/html; charset=utf-8,false,200,https://firemaths.info/student-loan-calculator,200,true,true,0,2,
20,https://firemaths.info/debt-payoff-calculator,Debt Payoff Calculator | firemaths.info,text/html; charset=utf-8,false,200,https://firemaths.info/debt-payoff-calculator,200,true,true,0,2,
20,https://firemaths.info/loan-amortization-calculator,"Loan Amortization Calculator: Schedule, Payoff Date & Interest Breakdown",text/html; charset=utf-8,false,200,https://firemaths.info/loan-amortization-calculator,200,true,true,0,3,
20,https://firemaths.info/capital-gains-tax-calculator,Capital Gains Tax Calculator 2024 & 2025 | Fire Maths,text/html; charset=utf-8,false,200,https://firemaths.info/capital-gains-tax-calculator,200,true,true,0,4,
20,https://firemaths.info/guide-safe-withdrawal-rate,The 4% Rule: Safe Withdrawal Rates in Retirement — Does It Still Work?,text/html; charset=utf-8,false,200,https://firemaths.info/guide-safe-withdrawal-rate,200,true,true,0,2,
20,https://firemaths.info/rent-vs-buy-calculator,Rent vs Buy Calculator: The True Cost of Homeownership vs Renting,text/html; charset=utf-8,false,200,https://firemaths.info/rent-vs-buy-calculator,200,true,true,0,2,
20,https://firemaths.info/guide-rule-of-72,The Rule of 72: How Long to Double Your Money at Any Return Rate,text/html; charset=utf-8,false,200,https://firemaths.info/guide-rule-of-72,200,true,true,0,2,
20,https://firemaths.info/roth-vs-traditional-ira-calculator,Roth vs Traditional IRA Calculator: Which Saves You More in Taxes?,text/html; charset=utf-8,false,200,https://firemaths.info/roth-vs-traditional-ira-calculator,200,true,true,0,3,
20,https://firemaths.info/mortgage-calculator,"Mortgage Calculator: Monthly Payment, Amortization & Total Interest | firemaths.info",text/html; charset=utf-8,false,200,https://firemaths.info/mortgage-calculator,200,true,true,0,2,
20,https://firemaths.info/paycheck-budget-calculator,50/30/20 Budget Calculator: How to Split Your Paycheck,text/html; charset=utf-8,false,200,https://firemaths.info/paycheck-budget-calculator,200,true,true,0,2,
20,https://firemaths.info/bond-yield-calculator,"Bond Yield Calculator | Current Yield, YTM & Price Relationship",text/html; charset=utf-8,false,200,https://firemaths.info/bond-yield-calculator,200,true,true,0,1,
20,https://firemaths.info/car-lease-vs-buy-calculator,Lease vs Buy Car Calculator: Which Is Actually Cheaper?,text/html; charset=utf-8,false,200,https://firemaths.info/car-lease-vs-buy-calculator,200,true,true,0,2,
20,https://firemaths.info/stock-return-calculator,Stock Return Calculator: Total Return with Dividends Reinvested | FireMaths,text/html; charset=utf-8,false,200,https://firemaths.info/stock-return-calculator,200,true,true,0,2,
20,https://firemaths.info/savings-goal-calculator,Savings Goal Calculator: How Long Until You Hit Your Target? | firemaths.info,text/html; charset=utf-8,false,200,https://firemaths.info/savings-goal-calculator,200,true,true,0,3,
20,https://firemaths.info/emergency-fund-calculator,Emergency Fund Calculator: How Much Do You Actually Need?,text/html; charset=utf-8,false,200,https://firemaths.info/emergency-fund-calculator,200,true,true,0,3,
