PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Depth,No. of inlinks dofollow,No. of inlinks nofollow,No. of href inlinks
20,https://leeroyjenkins.quest/zzz-tier-list,ZZZ Tier List: Comprehensive Zenless Zone Zero Agent Guide,text/html; charset=utf-8,false,200,0,0,1,0,1
20,https://leeroyjenkins.quest/r6-stat-tracker,R6 Stat Tracker & Calculator,text/html; charset=utf-8,false,200,0,0,1,0,1
20,https://leeroyjenkins.quest/gpu-performance-index,GPU Performance Index 2025 — Every Graphics Card Ranked,text/html; charset=utf-8,false,200,0,0,1,0,1
20,https://leeroyjenkins.quest/fidget-spinner,"Fidget Spinner: Science, History, and Benefits",text/html; charset=utf-8,false,200,0,0,1,0,1
20,https://leeroyjenkins.quest/grow-a-garden-value-calculator,Grow A Garden Value Calculator | Estimate Yield Savings,text/html; charset=utf-8,false,200,0,0,1,0,1
20,https://leeroyjenkins.quest/fn-tracker,Fortnite Stats Tracker & Calculator,text/html; charset=utf-8,false,200,0,0,1,0,1
20,https://leeroyjenkins.quest/fantasy-trade-calculator,Fantasy Trade Calculator | Interactive Trade Analyzer,text/html; charset=utf-8,false,200,0,0,1,0,1
20,https://leeroyjenkins.quest/palworld-breeding-calculator,Palworld Breeding Calculator & Power Formula,text/html; charset=utf-8,false,200,0,0,1,0,1
20,https://leeroyjenkins.quest/keybind-planner,Keybind Layout Planner | Leeroy Jenkins,text/html; charset=utf-8,false,200,0,0,1,0,1
20,https://leeroyjenkins.quest/just-dance-2025-song-list,Just Dance 2025 Song List: Everything You Need to Know,text/html; charset=utf-8,false,200,0,0,1,0,1
20,https://leeroyjenkins.quest/esports-prize-pools,Esports Prize Pool Rankings 2026,text/html; charset=utf-8,false,200,0,0,1,0,1
20,https://leeroyjenkins.quest/loot-probability,Loot Drop Calculator | Leeroy Jenkins,text/html; charset=utf-8,false,200,0,0,1,0,1
20,https://leeroyjenkins.quest/minecraft-circle-generator,Minecraft Circle Generator: Create Perfect Spheres and Curves,text/html; charset=utf-8,false,200,0,0,1,0,1
20,https://leeroyjenkins.quest/damage-calculator,RPG Damage Calculator | Leeroy Jenkins,text/html; charset=utf-8,false,200,0,0,1,0,1
20,https://leeroyjenkins.quest/grow-a-garden-calculator,Grow a Garden Calculator: Plan Your Yield & Savings,text/html; charset=utf-8,false,200,0,0,1,0,1
20,https://leeroyjenkins.quest/val-tracker,Valorant RR Tracker & Calculator,text/html; charset=utf-8,false,200,0,0,1,0,1
20,https://leeroyjenkins.quest/xp-calculator,XP & Leveling Calculator | Leeroy Jenkins,text/html; charset=utf-8,false,200,0,0,1,0,1
20,https://leeroyjenkins.quest/rivals-tracker,Gaming Rivals Tracker & KDA Calculator | Analyze Your Performance,text/html; charset=utf-8,false,200,0,0,1,0,1
20,https://leeroyjenkins.quest/warzone-tracker,Warzone Stat Tracker & K/D Calculator,text/html; charset=utf-8,false,200,0,0,1,0,1
20,https://leeroyjenkins.quest/marvel-rivals-tracker,Marvel Rivals Tracker,text/html; charset=utf-8,false,200,0,0,1,0,1
20,https://leeroyjenkins.quest/marvel-rivals-tier-list,Marvel Rivals Tier List - Best Heroes for Current Meta,text/html; charset=utf-8,false,200,0,0,1,0,1
20,https://leeroyjenkins.quest/hsr-tier-list,HSR Tier List: Best Characters Ranked,text/html; charset=utf-8,false,200,0,0,1,0,1
20,https://leeroyjenkins.quest/randomizer,Random Number & Name Generator | Leeroy Jenkins,text/html; charset=utf-8,false,200,0,0,1,0,1
20,https://leeroyjenkins.quest/pokemon-type-calculator,Pokemon Type Calculator: Find Strengths & Weaknesses,text/html; charset=utf-8,false,200,0,0,1,0,1
20,https://leeroyjenkins.quest/valorant-tracker,Valorant Stat Tracker & Performance Calculator,text/html; charset=utf-8,false,200,0,0,1,0,1
20,https://leeroyjenkins.quest/pokemon-unite-tier-list,Pokémon Unite Tier List: The Data Behind the Meta,text/html; charset=utf-8,false,200,0,0,1,0,1
20,https://leeroyjenkins.quest/rl-tracker,RL Tracker & Performance Calculator,text/html; charset=utf-8,false,200,0,0,1,0,1
20,https://leeroyjenkins.quest/resolution-scaler,Resolution Scaler Calculator | Leeroy Jenkins,text/html; charset=utf-8,false,200,0,0,1,0,1
20,https://leeroyjenkins.quest/blox-fruits-calculator,Blox Fruits Calculator | Check Trade Values,text/html; charset=utf-8,false,200,0,0,1,0,1
