PR,URL,Title,Content type,Is rendered page,HTTP status code,SERP title,No. of content words,Page text,Extracted text (raw <body>) (length),Text hash,Organic traffic,Is indexable page
40,https://siliconbased.dev/,Silicon Based,text/html; charset=utf-8,false,200,,5782,<truncated>,38520,1937275062905520389,0,true
20,https://siliconbased.dev/cron-expression-generator,Cron Expression Generator & Explainer,text/html; charset=utf-8,false,200,,692,<truncated>,3887,2129343706343054153,0,true
20,https://siliconbased.dev/sitemap-generator,XML Sitemap Generator — Create sitemaps online,text/html; charset=utf-8,false,200,,343,<truncated>,2042,2569382906893888616,0,true
20,https://siliconbased.dev/tailwind-converter,Tailwind CSS Converter | Convert CSS to Tailwind & Vice,text/html; charset=utf-8,false,200,,325,<truncated>,2145,1224263911453389403,0,true
20,https://siliconbased.dev/guide-prompting-jules,How to Prompt Google Jules for Research,text/html; charset=utf-8,false,200,,176,<truncated>,1184,537723835709919056,0,true
20,https://siliconbased.dev/json-path,JSON Path Tester & Evaluator — Test JSONPath Live,text/html; charset=utf-8,false,200,,278,<truncated>,1799,4099669439802731572,0,true
20,https://siliconbased.dev/json-formatter,"JSON Formatter & Validator — Format, Minify, and Validate",text/html; charset=utf-8,false,200,,497,<truncated>,3128,3465222140199973478,0,true
20,https://siliconbased.dev/list-static-hosting,"Best Free Static Hosting | Compare GitHub, Netlify, Vercel",text/html; charset=utf-8,false,200,,608,<truncated>,4076,13923257057542509073,0,true
20,https://siliconbased.dev/guide-docker-basics,"Docker for Beginners: Images, Containers & Compose in 15",text/html; charset=utf-8,false,200,,976,<truncated>,6149,16396999923985403537,0,true
20,https://siliconbased.dev/git-cheat-sheet,Git Cheat Sheet: Every Command You Actually Need,text/html; charset=utf-8,false,200,,247,<truncated>,1538,1377631249106000129,0,true
20,https://siliconbased.dev/csp-generator,CSP Header Generator — Content Security Policy Builder,text/html; charset=utf-8,false,200,,329,<truncated>,2232,15441566167303310045,0,true
20,https://siliconbased.dev/subnet-calculator,Subnet Calculator — IP Network Address Planner,text/html; charset=utf-8,false,200,,332,<truncated>,2190,18221019482115689632,0,true
20,https://siliconbased.dev/color-palette,Color Palette Generator | Harmonious Palettes & Image,text/html; charset=utf-8,false,200,,314,<truncated>,2090,3338618616678421138,0,true
20,https://siliconbased.dev/guide-api-authentication,"API Authentication Guide: API Keys, OAuth 2.0, JWT & Bearer",text/html; charset=utf-8,false,200,,1579,<truncated>,10960,14430303434794794640,0,true
20,https://siliconbased.dev/meta-tag-generator,Meta Tag Generator — SEO & Open Graph Tags,text/html; charset=utf-8,false,200,,432,<truncated>,2707,251946346206939579,0,true
20,https://siliconbased.dev/ssl-certificate-checker,"SSL Certificate Checker: Verify HTTPS, Expiry & Chain of",text/html; charset=utf-8,false,200,,505,<truncated>,3280,3750148285875108118,0,true
20,https://siliconbased.dev/og-image-preview,Social Card Preview — Test Open Graph & Social Media Cards,text/html; charset=utf-8,false,200,,352,<truncated>,2274,4010876274530000575,0,true
20,https://siliconbased.dev/list-css-frameworks,"CSS Frameworks Compared | Tailwind, Bootstrap, Bulma,",text/html; charset=utf-8,false,200,,501,<truncated>,3627,18289872833400740402,0,true
20,https://siliconbased.dev/og-preview,Open Graph Preview — Test Social Media Cards,text/html; charset=utf-8,false,200,,344,<truncated>,2216,1546192130351126167,0,true
20,https://siliconbased.dev/sql-formatter,SQL Formatter & Beautifier — Format and Beautify SQL Queries,text/html; charset=utf-8,false,200,,280,<truncated>,1836,3663078086010972908,0,true
20,https://siliconbased.dev/color-converter,"Color Converter: HEX to RGB, HSL, HSV & CMYK",text/html; charset=utf-8,false,200,,411,<truncated>,2534,869629649191570409,0,true
20,https://siliconbased.dev/cron-generator,Cron Expression Generator — Visual Builder & Explainer,text/html; charset=utf-8,false,200,,471,<truncated>,2368,3864011242584603349,0,true
20,https://siliconbased.dev/guide-ssh-keys,"SSH Key Setup: Generate, Configure & Use SSH Keys",text/html; charset=utf-8,false,200,,869,<truncated>,5376,2498218182600677052,0,true
20,https://siliconbased.dev/http-status-codes,HTTP Status Codes Reference: Every Code Explained with,text/html; charset=utf-8,false,200,,3516,<truncated>,21423,1946442209322093314,0,true
20,https://siliconbased.dev/base64-encoder-decoder,Base64 Encoder/Decoder: Encode & Decode Text and Files,text/html; charset=utf-8,false,200,,530,<truncated>,3205,4116815759994575526,0,true
