PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Depth,Internal outlinks to 4xx,Internal outlinks codes (4xx),No. of internal outlinks to 4xx,External outlinks to 4xx,External outlinks codes (4xx),No. of external outlinks to 4xx
20,https://thenookienook.com/what-are-stis,What are STIs? Overview & Testing Guide — The Nookie Nook,text/html; charset=utf-8,false,200,0,1,"https://thenookienook.com/sites/nookienook/sexual-health-glossary
https://thenookienook.com/sites/nookienook/what-is-consent
https://thenookienook.com/sites/nookienook/what-is-pelvic-floor","404
404
404",3,,,0
20,https://thenookienook.com/what-is-erectile-dysfunction,What is Erectile Dysfunction (ED)? Causes & Treatments — The Nookie Nook,text/html; charset=utf-8,false,200,0,1,"https://thenookienook.com/sites/nookienook/sexual-health-glossary
https://thenookienook.com/sites/nookienook/what-is-libido
https://thenookienook.com/sites/nookienook/what-is-pelvic-floor","404
404
404",3,,,0
20,https://thenookienook.com/silicone-lube-guide,Silicone Lubricants Guide | The Nookie Nook,text/html; charset=utf-8,false,200,0,1,"https://thenookienook.com/sites/nookienook/lube-and-condoms
https://thenookienook.com/sites/nookienook/lubricant-guide
https://thenookienook.com/sites/nookienook/water-based-lube-guide","404
404
404",3,,,0
20,https://thenookienook.com/what-is-gender-identity,What is Gender Identity? The Gender Spectrum — The Nookie Nook,text/html; charset=utf-8,false,200,0,1,"https://thenookienook.com/sites/nookienook/sexual-health-glossary
https://thenookienook.com/sites/nookienook/what-is-consent
https://thenookienook.com/sites/nookienook/what-is-sexual-orientation","404
404
404",3,,,0
20,https://thenookienook.com/what-is-vaginismus,What is Vaginismus? Symptoms & Treatment — The Nookie Nook,text/html; charset=utf-8,false,200,0,1,"https://thenookienook.com/sites/nookienook/sexual-health-glossary
https://thenookienook.com/sites/nookienook/what-is-libido
https://thenookienook.com/sites/nookienook/what-is-pelvic-floor","404
404
404",3,,,0
20,https://thenookienook.com/lube-and-condoms,Lube and Condoms Compatibility Guide | The Nookie Nook,text/html; charset=utf-8,false,200,0,1,"https://thenookienook.com/sites/nookienook/lubricant-guide
https://thenookienook.com/sites/nookienook/oil-based-lube-guide
https://thenookienook.com/sites/nookienook/silicone-lube-guide
https://thenookienook.com/sites/nookienook/water-based-lube-guide","404
404
404
404",4,,,0
20,https://thenookienook.com/water-based-lube-guide,Water-Based Lubricants Guide | The Nookie Nook,text/html; charset=utf-8,false,200,0,1,"https://thenookienook.com/sites/nookienook/lube-and-condoms
https://thenookienook.com/sites/nookienook/lube-ingredients-safety
https://thenookienook.com/sites/nookienook/lubricant-guide
https://thenookienook.com/sites/nookienook/silicone-lube-guide","404
404
404
404",4,,,0
20,https://thenookienook.com/sexual-health-guide,The Comprehensive Guide to Sexual Health | The Nookie Nook,text/html; charset=utf-8,false,200,0,1,"https://thenookienook.com/sites/nookienook/consent-communication-guide
https://thenookienook.com/sites/nookienook/contraception-comparison
https://thenookienook.com/sites/nookienook/fertility-window-calculator
https://thenookienook.com/sites/nookienook/guide-talking-to-doctor
https://thenookienook.com/sites/nookienook/pleasure-anatomy-guide
https://thenookienook.com/sites/nookienook/relationship-health-check
https://thenookienook.com/sites/nookienook/sexual-health-myths
https://thenookienook.com/sites/nookienook/sti-testing-guide","404
404
404
404
404
404
404
404",8,,,0
20,https://thenookienook.com/lube-for-menopause,Lubricants for Menopause & Vaginal Dryness | The Nookie Nook,text/html; charset=utf-8,false,200,0,1,"https://thenookienook.com/sites/nookienook/lube-ingredients-safety
https://thenookienook.com/sites/nookienook/lubricant-guide
https://thenookienook.com/sites/nookienook/silicone-lube-guide","404
404
404",3,,,0
20,https://thenookienook.com/lube-ingredients-safety,Lube Ingredient Safety Guide | The Nookie Nook,text/html; charset=utf-8,false,200,0,1,"https://thenookienook.com/sites/nookienook/lubricant-guide
https://thenookienook.com/sites/nookienook/water-based-lube-guide","404
404",2,,,0
20,https://thenookienook.com/lubricant-guide,The Ultimate Guide to Personal Lubricants | The Nookie Nook,text/html; charset=utf-8,false,200,0,1,"https://thenookienook.com/sites/nookienook
https://thenookienook.com/sites/nookienook/lube-and-condoms
https://thenookienook.com/sites/nookienook/lube-comparison-tool
https://thenookienook.com/sites/nookienook/lube-for-menopause
https://thenookienook.com/sites/nookienook/lube-ingredients-safety
https://thenookienook.com/sites/nookienook/natural-lube-guide
https://thenookienook.com/sites/nookienook/oil-based-lube-guide
https://thenookienook.com/sites/nookienook/silicone-lube-guide
https://thenookienook.com/sites/nookienook/water-based-lube-guide","404
404
404
404
404
404
404
404
404",9,,,0
20,https://thenookienook.com/what-is-pelvic-floor,What is the Pelvic Floor? Anatomy & Dysfunction — The Nookie Nook,text/html; charset=utf-8,false,200,0,1,"https://thenookienook.com/sites/nookienook/sexual-health-glossary
https://thenookienook.com/sites/nookienook/what-is-erectile-dysfunction
https://thenookienook.com/sites/nookienook/what-is-vaginismus","404
404
404",3,,,0
20,https://thenookienook.com/lube-comparison-tool,Interactive Lube Comparison Tool | The Nookie Nook,text/html; charset=utf-8,false,200,0,1,https://thenookienook.com/sites/nookienook/lubricant-guide,404,1,,,0
20,https://thenookienook.com/natural-lube-guide,Natural & Organic Lubricants Guide | The Nookie Nook,text/html; charset=utf-8,false,200,0,1,"https://thenookienook.com/sites/nookienook/lube-ingredients-safety
https://thenookienook.com/sites/nookienook/lubricant-guide
https://thenookienook.com/sites/nookienook/oil-based-lube-guide
https://thenookienook.com/sites/nookienook/water-based-lube-guide","404
404
404
404",4,,,0
20,https://thenookienook.com/what-is-consent,What is Consent? Enthusiastic Consent & Boundaries — The Nookie Nook,text/html; charset=utf-8,false,200,0,1,"https://thenookienook.com/sites/nookienook/sexual-health-glossary
https://thenookienook.com/sites/nookienook/what-are-stis
https://thenookienook.com/sites/nookienook/what-is-libido","404
404
404",3,,,0
20,https://thenookienook.com/consent-communication-guide,Consent & Sexual Communication Guide | The Nookie Nook,text/html; charset=utf-8,false,200,0,1,"https://thenookienook.com/sites/nookienook/relationship-health-check
https://thenookienook.com/sites/nookienook/sexual-health-guide","404
404",2,,,0
