PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Depth,No. of inlinks dofollow,No. of inlinks nofollow,No. of href inlinks
20,https://thenookienook.com/what-are-stis,What are STIs? Overview & Testing Guide — The Nookie Nook,text/html; charset=utf-8,false,200,0,1,1,0,1
20,https://thenookienook.com/what-is-erectile-dysfunction,What is Erectile Dysfunction (ED)? Causes & Treatments — The Nookie Nook,text/html; charset=utf-8,false,200,0,1,1,0,1
20,https://thenookienook.com/silicone-lube-guide,Silicone Lubricants Guide | The Nookie Nook,text/html; charset=utf-8,false,200,0,1,1,0,1
20,https://thenookienook.com/what-is-gender-identity,What is Gender Identity? The Gender Spectrum — The Nookie Nook,text/html; charset=utf-8,false,200,0,1,1,0,1
20,https://thenookienook.com/what-is-vaginismus,What is Vaginismus? Symptoms & Treatment — The Nookie Nook,text/html; charset=utf-8,false,200,0,1,1,0,1
20,https://thenookienook.com/lube-and-condoms,Lube and Condoms Compatibility Guide | The Nookie Nook,text/html; charset=utf-8,false,200,0,1,1,0,1
20,https://thenookienook.com/water-based-lube-guide,Water-Based Lubricants Guide | The Nookie Nook,text/html; charset=utf-8,false,200,0,1,1,0,1
20,https://thenookienook.com/sexual-health-guide,The Comprehensive Guide to Sexual Health | The Nookie Nook,text/html; charset=utf-8,false,200,0,1,1,0,1
20,https://thenookienook.com/lube-for-menopause,Lubricants for Menopause & Vaginal Dryness | The Nookie Nook,text/html; charset=utf-8,false,200,0,1,1,0,1
20,https://thenookienook.com/lube-ingredients-safety,Lube Ingredient Safety Guide | The Nookie Nook,text/html; charset=utf-8,false,200,0,1,1,0,1
20,https://thenookienook.com/lubricant-guide,The Ultimate Guide to Personal Lubricants | The Nookie Nook,text/html; charset=utf-8,false,200,0,1,1,0,1
20,https://thenookienook.com/what-is-pelvic-floor,What is the Pelvic Floor? Anatomy & Dysfunction — The Nookie Nook,text/html; charset=utf-8,false,200,0,1,1,0,1
20,https://thenookienook.com/lube-comparison-tool,Interactive Lube Comparison Tool | The Nookie Nook,text/html; charset=utf-8,false,200,0,1,1,0,1
20,https://thenookienook.com/natural-lube-guide,Natural & Organic Lubricants Guide | The Nookie Nook,text/html; charset=utf-8,false,200,0,1,1,0,1
20,https://thenookienook.com/what-is-consent,What is Consent? Enthusiastic Consent & Boundaries — The Nookie Nook,text/html; charset=utf-8,false,200,0,1,1,0,1
20,https://thenookienook.com/consent-communication-guide,Consent & Sexual Communication Guide | The Nookie Nook,text/html; charset=utf-8,false,200,0,1,1,0,1
20,https://thenookienook.com/oil-based-lube-guide,Oil-Based Lubricants Guide | The Nookie Nook,text/html; charset=utf-8,false,200,0,1,1,0,1
20,https://thenookienook.com/sexual-health-myths,Sexual Health Myths vs Facts Quiz | The Nookie Nook,text/html; charset=utf-8,false,200,0,1,1,0,1
20,https://thenookienook.com/fertility-window-calculator,Interactive Fertility Window Calculator | The Nookie Nook,text/html; charset=utf-8,false,200,0,1,1,0,1
20,https://thenookienook.com/pleasure-anatomy-guide,Anatomy & Pleasure Guide | The Nookie Nook,text/html; charset=utf-8,false,200,0,1,1,0,1
20,https://thenookienook.com/what-is-sexual-orientation,What is Sexual Orientation? The Spectrum of Attraction — The Nookie Nook,text/html; charset=utf-8,false,200,0,1,1,0,1
20,https://thenookienook.com/sti-testing-guide,Complete STI Testing Guide & Window Periods | The Nookie Nook,text/html; charset=utf-8,false,200,0,1,1,0,1
20,https://thenookienook.com/contraception-comparison,Interactive Contraception Comparison Tool | The Nookie Nook,text/html; charset=utf-8,false,200,0,1,1,0,1
20,https://thenookienook.com/what-is-libido,What is Libido? Desire & Mismatched Sex Drives — The Nookie Nook,text/html; charset=utf-8,false,200,0,1,1,0,1
20,https://thenookienook.com/guide-talking-to-doctor,Talking to Your Doctor About Sexual Health | The Nookie Nook,text/html; charset=utf-8,false,200,0,1,1,0,1
20,https://thenookienook.com/relationship-health-check,Relationship Health Assessment Tool | The Nookie Nook,text/html; charset=utf-8,false,200,0,1,1,0,1
20,https://thenookienook.com/sexual-health-glossary,The Complete Sexual Health Glossary — The Nookie Nook,text/html; charset=utf-8,false,200,0,1,1,0,1
