PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Is indexable page,Meta description,H1,H2,No. of content words,No. of internal outlinks,No. of external outlinks,Page text,Extracted text (raw <body>) (length),Text hash,First found at
40,https://westmountfundamentals.com/,Westmount Fundamentals,text/html; charset=utf-8,false,200,0,true,"Westmount Fundamentals — free financial calculators, investing guides, equity research, and market analysis tools for investors.",Westmount Fundamentals,"Calculators & Tools
Research & Analysis
Guides & Explainers
Lists & Rankings",9293,335,1,<truncated>,59549,14601493771232162724,
21,https://westmountfundamentals.com/what-are-growth-stocks,What Are Growth Stocks?,text/html; charset=utf-8,false,200,0,true,Are you missing out on the market's biggest winners? Learn how to identify high-potential growth stocks before they become household names.,What Are Growth Stocks?,"The Defining Characteristics of a Growth Stock
Real-World Examples: The Mindset of the Disruptor
Why It Matters: The Delicate Balance of Risk vs. Reward
How to Invest in Growth Stocks Safely and Rationally
Frequently Asked Questions",1786,5,1,<truncated>,11510,13949734790122943470,
21,https://westmountfundamentals.com/best-brokerage-for-beginners,Best Brokerage for Beginners in Canada (2026),text/html; charset=utf-8,false,200,0,true,"Best brokerages for Canadian beginners: zero-commission apps, automated investing, and the easiest platforms to buy your first stock or ETF.",The Best Brokerage for Beginners in Canada (2026),"The Golden Rule for Beginners: Avoid High Commissions
Wealthsimple Trade: The Undisputed King for Beginners
Questrade: The Versatile Step Up
What About Interactive Brokers (IBKR)?
What About My Bank? (TD, RBC, Scotia, etc.)
The Recommended Beginner Strategy for 2026",1389,8,1,<truncated>,8624,14869196771024179896,
20,https://westmountfundamentals.com/what-is-a-stock-split,What is a Stock Split? A Complete Guide for Investors,text/html; charset=utf-8,false,200,0,true,"Learn what a stock split is, how it works, and why companies do it. Understand forward and reverse splits with historical examples and actionable takeaways.",What is a Stock Split? A Complete Guide for Investors,"Defining the Core Concept: Forward Stock Splits
How Does a Stock Split Actually Work?
Historical Examples of Massive Stock Splits
Why Do Companies Split Their Stock? The True Motivations
The Dark Side: Understanding Reverse Stock Splits
Practical Takeaways: How to Invest Around Stock Splits
Conclusion: A Cosmetic Change, Not a Fundamental Shift
Frequently Asked Questions",2304,1,1,<truncated>,14328,2258435034992403395,
20,https://westmountfundamentals.com/when-to-sell-stocks,When to Sell Stocks: A Complete Beginner's Guide,text/html; charset=utf-8,false,200,0,true,"Most investors focus on buying, but knowing when to sell stocks is often the harder decision. Discover the key indicators that tell you it's time to cash out.",When to Sell Stocks: A Complete Beginner's Guide,"The Golden Rule: Stick to Your Investment Thesis
Legitimate Reasons to Sell Stocks
When NOT to Sell Stocks
Why It Matters: The Impact of Selling
Frequently Asked Questions",1541,1,1,<truncated>,9411,76539585379087246,
20,https://westmountfundamentals.com/ulty-dividend-calculator,ULTY Dividend Calculator & Income Projection,text/html; charset=utf-8,false,200,0,true,Calculate projected monthly and annual income from ULTY (YieldMax Ultra Option Income Strategy ETF). Analyze yield and distribution risks.,ULTY Dividend Calculator,"Understanding the ULTY Income Generation Engine
Interactive Income Projection Model
Analyzing the Total Return Paradigm
Strategic Allocation and Risk Mitigation
Internal Links and Further Research
Frequently Asked Questions",1156,3,1,<truncated>,8165,657766049998404959,
20,https://westmountfundamentals.com/dividend-definition,Dividend Definition: What It Is & How It Works (2026 Guide),text/html; charset=utf-8,false,200,0,true,"Everyone talks about passive income, but few understand the exact mechanics of how companies distribute cash. Here is the true definition of a dividend.",The Comprehensive Dividend Definition: What It Is and How It Works,"The Core Definition: What Exactly Is a Dividend?
How Dividends Actually Work in Practice: The Four Key Dates
Real-World Examples: Dividends in Action
Why Do Companies Pay (or Refuse to Pay) Dividends?
Interactive Dividend Yield & Income Estimator
Essential Dividend Metrics Every Investor Must Know
Different Types of Dividends
The Pros and Cons of Dividend Investing
Common Misconceptions About Dividends
What Experienced Investors Know That Beginners Don't
Frequently Asked Questions",2840,8,1,<truncated>,18040,17432303481168058901,
20,https://westmountfundamentals.com/home-equity-calculator,Home Equity Calculator | Calculate Your Borrowing Power,text/html; charset=utf-8,false,200,0,true,Calculate your home equity and loan-to-value (LTV) ratio instantly. See how much you can borrow with a HELOC or home equity loan based on real formulas.,Home Equity Calculator,"Understanding Home Equity
Frequently Asked Questions",839,1,1,<truncated>,5020,1532148444261408856,
20,https://westmountfundamentals.com/stock-profit-calculator,Stock Profit Calculator | Westmount Fundamentals,text/html; charset=utf-8,false,200,0,true,"Calculate your true stock profit, return on investment (ROI), and break-even price. What are hidden fees costing you?",Stock Profit Calculator,"Understanding Stock Profit and Return on Investment (ROI)
Frequently Asked Questions",1447,2,1,<truncated>,8928,15941831905321628659,
20,https://westmountfundamentals.com/how-to-buy-stocks,How to Buy Stocks: The Definitive Guide for Beginners,text/html; charset=utf-8,false,200,0,true,"Want to invest but don't know where to start? Discover the exact steps to open an account, choose investments, and execute your first trade without the jargon.",How to Buy Stocks: The Definitive Beginner's Guide to Investing in the Stock Market,"Step 1: Understand What You Are Actually Buying
Step 2: Choose How You Want to Invest
Step 3: Open and Fund a Brokerage Account
Step 4: Research and Select Your Investments
Step 5: Place Your Order
Step 6: Monitor Your Portfolio and Know When to Sell
The Pros, Cons, and Common Misconceptions
What Experienced Investors Know That Beginners Don't
Frequently Asked Questions",4365,6,1,<truncated>,27686,4374911622778063510,
