PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Depth,Internal outlinks to 4xx,Internal outlinks codes (4xx),No. of internal outlinks to 4xx,External outlinks to 4xx,External outlinks codes (4xx),No. of external outlinks to 4xx
20,https://siliconbased.dev/fractions-calculator,"Fractions Calculator: Add, Subtract, Multiply & Divide",text/html; charset=utf-8,false,200,0,0,https://siliconbased.dev/sites/siliconbased/freight-class-calculator,404,1,,,0
20,https://siliconbased.dev/2-hour-timer,2 Hour Timer - Focus & Productivity Countdown,text/html; charset=utf-8,false,200,0,0,"https://siliconbased.dev/sites/siliconbased/chatgpt-image-generator
https://siliconbased.dev/sites/siliconbased/genshin-tier-list","404
404",2,,,0
20,https://siliconbased.dev/ama-citation-generator,AMA Citation Generator,text/html; charset=utf-8,false,200,0,0,"https://siliconbased.dev/sites/siliconbased/adobe-qr-code-generator
https://siliconbased.dev/sites/siliconbased/bing-ai-image-generator","404
404",2,,,0
20,https://siliconbased.dev/genshin-tier-list,Genshin Tier List - Meta Rankings & Analysis,text/html; charset=utf-8,false,200,0,0,"https://siliconbased.dev/sites/siliconbased/2-hour-timer
https://siliconbased.dev/sites/siliconbased/chatgpt-image-generator","404
404",2,,,0
20,https://siliconbased.dev/guide-ssh-keys,"SSH Key Setup: Generate, Configure & Use SSH Keys",text/html; charset=utf-8,false,200,0,0,https://siliconbased.dev/cdn-cgi/l/email-protection,404,1,,,0
20,https://siliconbased.dev/chatgpt-image-generator,ChatGPT Image Generator Guide & Tips,text/html; charset=utf-8,false,200,0,0,"https://siliconbased.dev/sites/siliconbased/2-hour-timer
https://siliconbased.dev/sites/siliconbased/genshin-tier-list","404
404",2,,,0
20,https://siliconbased.dev/adobe-qr-code-generator,Adobe QR Code Generator,text/html; charset=utf-8,false,200,0,0,"https://siliconbased.dev/sites/siliconbased/ama-citation-generator
https://siliconbased.dev/sites/siliconbased/bing-ai-image-generator","404
404",2,,,0
20,https://siliconbased.dev/bing-ai-image-generator,Bing AI Image Generator,text/html; charset=utf-8,false,200,0,0,"https://siliconbased.dev/sites/siliconbased/adobe-qr-code-generator
https://siliconbased.dev/sites/siliconbased/ama-citation-generator","404
404",2,,,0
20,https://siliconbased.dev/guide-devops-complete,"DevOps Toolkit: Docker, Git, Nginx & SSH Guide",text/html; charset=utf-8,false,200,0,0,https://siliconbased.dev/cdn-cgi/l/email-protection,404,1,,,0
20,https://siliconbased.dev/http-status-codes,HTTP Status Codes Reference: Every Code Explained with,text/html; charset=utf-8,false,200,0,0,https://siliconbased.dev/cdn-cgi/l/email-protection,404,1,,,0
20,https://siliconbased.dev/freight-class-calculator,Freight Class Calculator: Density & NMFC Class Estimator,text/html; charset=utf-8,false,200,0,0,https://siliconbased.dev/sites/siliconbased/fractions-calculator,404,1,,,0
