PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Depth,Is indexable page,No. of all inlinks,First found at
4,https://thenookienook.com/sites/nookienook/lubricant-guide,,text/html; charset=utf-8,false,404,0,2,false,8,https://thenookienook.com/lube-and-condoms
4,https://thenookienook.com/sites/nookienook/sexual-health-guide,,text/html; charset=utf-8,false,404,0,2,false,8,https://thenookienook.com/fertility-window-calculator
4,https://thenookienook.com/sites/nookienook/sexual-health-glossary,,text/html; charset=utf-8,false,404,0,2,false,8,https://thenookienook.com/what-is-erectile-dysfunction
3,https://thenookienook.com/sites/nookienook/water-based-lube-guide,,text/html; charset=utf-8,false,404,0,2,false,6,https://thenookienook.com/lube-and-condoms
2,https://thenookienook.com/sites/nookienook/lube-ingredients-safety,,text/html; charset=utf-8,false,404,0,2,false,4,https://thenookienook.com/lubricant-guide
2,https://thenookienook.com/sites/nookienook/lube-and-condoms,,text/html; charset=utf-8,false,404,0,2,false,3,https://thenookienook.com/lubricant-guide
2,https://thenookienook.com/sites/nookienook/what-is-erectile-dysfunction,,text/html; charset=utf-8,false,404,0,2,false,3,https://thenookienook.com/what-is-libido
2,https://thenookienook.com/sites/nookienook/what-is-libido,,text/html; charset=utf-8,false,404,0,2,false,5,https://thenookienook.com/what-is-erectile-dysfunction
2,https://thenookienook.com/sites/nookienook/oil-based-lube-guide,,text/html; charset=utf-8,false,404,0,2,false,3,https://thenookienook.com/lube-and-condoms
2,https://thenookienook.com/sites/nookienook/silicone-lube-guide,,text/html; charset=utf-8,false,404,0,2,false,5,https://thenookienook.com/lube-and-condoms
2,https://thenookienook.com/sites/nookienook/what-is-pelvic-floor,,text/html; charset=utf-8,false,404,0,2,false,4,https://thenookienook.com/what-is-erectile-dysfunction
2,https://thenookienook.com/sites/nookienook/guide-talking-to-doctor,,text/html; charset=utf-8,false,404,0,2,false,4,https://thenookienook.com/fertility-window-calculator
2,https://thenookienook.com/sites/nookienook/what-is-consent,,text/html; charset=utf-8,false,404,0,2,false,4,https://thenookienook.com/what-is-libido
1,https://thenookienook.com/sites/nookienook/what-are-stis,,text/html; charset=utf-8,false,404,0,2,false,2,https://thenookienook.com/sexual-health-glossary
1,https://thenookienook.com/sites/nookienook/contraception-comparison,,text/html; charset=utf-8,false,404,0,2,false,2,https://thenookienook.com/fertility-window-calculator
1,https://thenookienook.com/sites/nookienook/what-is-gender-identity,,text/html; charset=utf-8,false,404,0,2,false,2,https://thenookienook.com/sexual-health-glossary
1,https://thenookienook.com/sites/nookienook/relationship-health-check,,text/html; charset=utf-8,false,404,0,2,false,2,https://thenookienook.com/consent-communication-guide
1,https://thenookienook.com/sites/nookienook/what-is-sexual-orientation,,text/html; charset=utf-8,false,404,0,2,false,2,https://thenookienook.com/sexual-health-glossary
1,https://thenookienook.com/sites/nookienook/what-is-vaginismus,,text/html; charset=utf-8,false,404,0,2,false,2,https://thenookienook.com/sexual-health-glossary
1,https://thenookienook.com/sites/nookienook/consent-communication-guide,,text/html; charset=utf-8,false,404,0,2,false,2,https://thenookienook.com/sexual-health-guide
0,https://thenookienook.com/sites/siliconbased/fidget-spinner,,text/html; charset=utf-8,false,404,0,2,false,1,https://thenookienook.com/love-language-list
0,https://thenookienook.com/sites/nookienook/fertility-window-calculator,,text/html; charset=utf-8,false,404,0,2,false,1,https://thenookienook.com/sexual-health-guide
0,https://thenookienook.com/sites/nookienook/pleasure-anatomy-guide,,text/html; charset=utf-8,false,404,0,2,false,1,https://thenookienook.com/sexual-health-guide
0,https://thenookienook.com/sites/nookienook/natural-lube-guide,,text/html; charset=utf-8,false,404,0,2,false,1,https://thenookienook.com/lubricant-guide
0,https://thenookienook.com/sites/nookienook,,text/html; charset=utf-8,false,404,0,2,false,1,https://thenookienook.com/lubricant-guide
0,https://thenookienook.com/sites/nookienook/sti-testing-guide,,text/html; charset=utf-8,false,404,0,2,false,1,https://thenookienook.com/sexual-health-guide
0,https://thenookienook.com/sites/siliconbased/truth-finder,,text/html; charset=utf-8,false,404,0,2,false,1,https://thenookienook.com/love-language-list
0,https://thenookienook.com/sites/nookienook/sexual-health-myths,,text/html; charset=utf-8,false,404,0,2,false,1,https://thenookienook.com/sexual-health-guide
0,https://thenookienook.com/sites/siliconbased/love-language-list,,text/html; charset=utf-8,false,404,0,2,false,1,https://thenookienook.com/love-language-list
0,https://thenookienook.com/sites/nookienook/lube-for-menopause,,text/html; charset=utf-8,false,404,0,2,false,1,https://thenookienook.com/lubricant-guide
0,https://thenookienook.com/sites/nookienook/lube-comparison-tool,,text/html; charset=utf-8,false,404,0,2,false,1,https://thenookienook.com/lubricant-guide
