PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Depth,Meta description,Meta description length,No. of meta descriptions,Is indexable page
40,https://westmountfundamentals.com/,Westmount Fundamentals,text/html; charset=utf-8,false,200,0,0,"Westmount Fundamentals — tools, guides, studies, and resources.",63,1,true
21,https://westmountfundamentals.com/rrsp-season-checklist,Complete RRSP Season Checklist,text/html; charset=utf-8,false,200,0,0,"Contribution room, deadline, strategies, tax optimization.",58,1,true
20,https://westmountfundamentals.com/rrsp-deadline-reminder,RRSP Deadline & Key Dates,text/html; charset=utf-8,false,200,0,0,Important contribution deadlines and carry-forward rules.,57,1,true
20,https://westmountfundamentals.com/rrsp-home-buyers-plan,RRSP Home Buyers' Plan (HBP),text/html; charset=utf-8,false,200,0,0,"HBP rules, repayment schedules, and first-time buyer tips.",58,1,true
20,https://westmountfundamentals.com/rrsp-investment-options,What to Hold in Your RRSP,text/html; charset=utf-8,false,200,0,0,"Asset location strategies, US dividends, and bonds.",51,1,true
20,https://westmountfundamentals.com/spousal-rrsp-guide,Spousal RRSP Guide,text/html; charset=utf-8,false,200,0,0,"Income splitting, attribution rules, and withdrawal strategies.",63,1,true
20,https://westmountfundamentals.com/rrsp-contribution-calculator,RRSP Contribution Calculator,text/html; charset=utf-8,false,200,0,0,"Calculate your room, optimal amount, and estimate your tax refund.",66,1,true
20,https://westmountfundamentals.com/rrsp-vs-tfsa-decision,RRSP vs TFSA: How to Choose,text/html; charset=utf-8,false,200,0,0,Income-based decision tool and marginal rate analysis.,54,1,true
20,https://westmountfundamentals.com/rrsp-overcontribution-guide,RRSP Over-Contribution Guide,text/html; charset=utf-8,false,200,0,0,"Understanding the $2K buffer, penalties, and how to fix errors.",63,1,true
20,https://westmountfundamentals.com/compound-interest-calculator,Compound Interest Growth Calculator,text/html; charset=utf-8,false,200,0,0,See exactly how much your money will grow over time. The results might surprise you...,86,1,true
20,https://westmountfundamentals.com/rrsp-withdrawal-strategies,RRSP Withdrawal Strategies,text/html; charset=utf-8,false,200,0,0,Minimize taxes and optimize RRIF conversion timing.,51,1,true
20,https://westmountfundamentals.com/cagr-calculator,Compound Annual Growth Rate (CAGR) Calculator,text/html; charset=utf-8,false,200,0,0,Calculate your exact annual growth rate. Discover what it really takes to double your money...,94,1,true
