PR,URL,Title,Content type,Is rendered page,HTTP status code,Meta description,No. of content words,Page text,Extracted text (raw <body>) (length),Text hash,Organic traffic,Is indexable page
40,https://westmountfundamentals.com/,Westmount Fundamentals,text/html; charset=utf-8,false,200,"Westmount Fundamentals — free financial calculators, investing guides, equity research, and market analysis tools for investors.",9293,<truncated>,59549,14601493771232162724,0,true
21,https://westmountfundamentals.com/what-are-growth-stocks,What Are Growth Stocks?,text/html; charset=utf-8,false,200,Are you missing out on the market's biggest winners? Learn how to identify high-potential growth stocks before they become household names.,1786,<truncated>,11510,13949734790122943470,0,true
21,https://westmountfundamentals.com/best-brokerage-for-beginners,Best Brokerage for Beginners in Canada (2026),text/html; charset=utf-8,false,200,"Best brokerages for Canadian beginners: zero-commission apps, automated investing, and the easiest platforms to buy your first stock or ETF.",1389,<truncated>,8624,14869196771024179896,0,true
20,https://westmountfundamentals.com/ulty-dividend-calculator,ULTY Dividend Calculator & Income Projection,text/html; charset=utf-8,false,200,Calculate projected monthly and annual income from ULTY (YieldMax Ultra Option Income Strategy ETF). Analyze yield and distribution risks.,1156,<truncated>,8165,657766049998404959,0,true
20,https://westmountfundamentals.com/dividend-definition,Dividend Definition: What It Is & How It Works (2026 Guide),text/html; charset=utf-8,false,200,"Everyone talks about passive income, but few understand the exact mechanics of how companies distribute cash. Here is the true definition of a dividend.",2840,<truncated>,18040,17432303481168058901,0,true
20,https://westmountfundamentals.com/stock-profit-calculator,Stock Profit Calculator | Westmount Fundamentals,text/html; charset=utf-8,false,200,"Calculate your true stock profit, return on investment (ROI), and break-even price. What are hidden fees costing you?",1447,<truncated>,8928,15941831905321628659,0,true
20,https://westmountfundamentals.com/how-to-buy-stocks,How to Buy Stocks: The Definitive Guide for Beginners,text/html; charset=utf-8,false,200,"Want to invest but don't know where to start? Discover the exact steps to open an account, choose investments, and execute your first trade without the jargon.",4365,<truncated>,27686,4374911622778063510,0,true
20,https://westmountfundamentals.com/guide-portfolio-diversification,Portfolio Diversification Guide: How Many Stocks Do You A...,text/html; charset=utf-8,false,200,How many stocks do you need for proper diversification? Discover the exact threshold where adding more holdings stops reducing risk.,757,<truncated>,5270,14626276083326453871,0,true
20,https://westmountfundamentals.com/stock-options-calculator,Stock Options Calculator: Uncover Your Real Profit Potential,text/html; charset=utf-8,false,200,Calculating your exact break-even point and maximum profit isn't as simple as checking the strike price. Here's how to reveal the true value of your trades.,2015,<truncated>,12743,614130501683780045,0,true
20,https://westmountfundamentals.com/how-to-pick-stocks,How to Pick Stocks: A Step-by-Step Guide,text/html; charset=utf-8,false,200,Want to stop guessing and start investing strategically? Learn the fundamental rules for picking stocks and building a resilient portfolio over time.,2055,<truncated>,13219,748514588983802890,0,true
20,https://westmountfundamentals.com/what-is-a-dividend-stock,What Is a Dividend Stock? | Complete Guide to Dividend Investing,text/html; charset=utf-8,false,200,"They pay you just for owning them, but where does the cash actually come from? The mechanics of dividend stocks most beginners completely miss.",2423,<truncated>,15130,315277228472062442,0,true
20,https://westmountfundamentals.com/drip-calculator,DRIP Calculator: Dividend Reinvestment Plan Calculator,text/html; charset=utf-8,false,200,How much will your dividends grow when reinvested? Calculate your future portfolio value and passive income using this DRIP calculator.,1593,<truncated>,10562,1277118430264804511,0,true
20,https://westmountfundamentals.com/what-are-mid-cap-stocks,What Are Mid-Cap Stocks?,text/html; charset=utf-8,false,200,"They are too big to fail easily, but small enough to still double in size. Discover why the 'middle child' of the stock market often outperforms the giants.",781,<truncated>,5152,4480855029921878092,0,true
20,https://westmountfundamentals.com/position-size-calculator,Position Size Calculator: Manage Your Trading Risk,text/html; charset=utf-8,false,200,Stop blowing up your trading account. How many shares should you actually buy? Use our position size calculator to enforce strict risk management.,1593,<truncated>,9569,17549571434937132117,0,true
20,https://westmountfundamentals.com/dividend-reinvestment-calculator,Dividend Reinvestment Calculator: Visualize the Power of Compounding,text/html; charset=utf-8,false,200,Want to see the real impact of reinvesting dividends over time? Discover how DRIP strategies can dramatically transform your portfolio returns in our calculator.,2034,<truncated>,13270,588952190177359569,0,true
20,https://westmountfundamentals.com/investment-planner,Investment Planner & Calculator,text/html; charset=utf-8,false,200,Stop guessing your financial future. Discover exactly how much you need to save and what your money could be worth with this free investment planner.,1644,<truncated>,10216,1149162132241169727,0,true
20,https://westmountfundamentals.com/what-are-cyclical-stocks,What Are Cyclical Stocks?,text/html; charset=utf-8,false,200,Some companies boom when the economy is good and crash when it is bad. Discover how to identify cyclical stocks and use them to your advantage.,861,<truncated>,5705,17755527665849448977,0,true
20,https://westmountfundamentals.com/portfolio-allocation-calculator,Portfolio Allocation Calculator | Westmount Fundamentals,text/html; charset=utf-8,false,200,"Visualize your asset distribution across stocks, bonds, cash, and crypto. Is your portfolio exposed to hidden risks?",1282,<truncated>,8584,16877290744217165620,0,true
20,https://westmountfundamentals.com/what-are-esg-stocks,What Are ESG Stocks? A Beginner's Guide,text/html; charset=utf-8,false,200,Curious if your portfolio aligns with your values? Discover the core criteria behind ESG stocks and why sustainable investing is reshaping Wall Street.,2874,<truncated>,19458,15060169922995104029,0,true
