PR,URL,Title,Content type,Is rendered page,HTTP status code,No. of content words,Page text,Extracted text (raw <body>) (length),Text hash,Meta description,H1,Organic traffic,Is indexable page
21,https://westmountfundamentals.com/what-are-growth-stocks,What Are Growth Stocks?,text/html; charset=utf-8,false,200,1786,<truncated>,11510,13949734790122943470,Are you missing out on the market's biggest winners? Learn how to identify high-potential growth stocks before they become household names.,What Are Growth Stocks?,0,true
20,https://westmountfundamentals.com/stock-profit-calculator,Stock Profit Calculator | Westmount Fundamentals,text/html; charset=utf-8,false,200,1447,<truncated>,8928,15941831905321628659,"Calculate your true stock profit, return on investment (ROI), and break-even price. What are hidden fees costing you?",Stock Profit Calculator,0,true
20,https://westmountfundamentals.com/what-is-a-dividend-stock,What Is a Dividend Stock? | Complete Guide to Dividend Investing,text/html; charset=utf-8,false,200,2423,<truncated>,15130,315277228472062442,"They pay you just for owning them, but where does the cash actually come from? The mechanics of dividend stocks most beginners completely miss.",What Is a Dividend Stock? The Complete Guide for Beginners,0,true
20,https://westmountfundamentals.com/what-are-mid-cap-stocks,What Are Mid-Cap Stocks?,text/html; charset=utf-8,false,200,781,<truncated>,5152,4480855029921878092,"They are too big to fail easily, but small enough to still double in size. Discover why the 'middle child' of the stock market often outperforms the giants.",What Are Mid-Cap Stocks?,0,true
20,https://westmountfundamentals.com/position-size-calculator,Position Size Calculator: Manage Your Trading Risk,text/html; charset=utf-8,false,200,1593,<truncated>,9569,17549571434937132117,Stop blowing up your trading account. How many shares should you actually buy? Use our position size calculator to enforce strict risk management.,Position Size Calculator,0,true
20,https://westmountfundamentals.com/dividend-reinvestment-calculator,Dividend Reinvestment Calculator: Visualize the Power of Compounding,text/html; charset=utf-8,false,200,2034,<truncated>,13270,588952190177359569,Want to see the real impact of reinvesting dividends over time? Discover how DRIP strategies can dramatically transform your portfolio returns in our calculator.,Dividend Reinvestment Calculator,0,true
20,https://westmountfundamentals.com/investment-planner,Investment Planner & Calculator,text/html; charset=utf-8,false,200,1644,<truncated>,10216,1149162132241169727,Stop guessing your financial future. Discover exactly how much you need to save and what your money could be worth with this free investment planner.,Investment Planner,0,true
20,https://westmountfundamentals.com/what-are-cyclical-stocks,What Are Cyclical Stocks?,text/html; charset=utf-8,false,200,861,<truncated>,5705,17755527665849448977,Some companies boom when the economy is good and crash when it is bad. Discover how to identify cyclical stocks and use them to your advantage.,What Are Cyclical Stocks?,0,true
20,https://westmountfundamentals.com/portfolio-allocation-calculator,Portfolio Allocation Calculator | Westmount Fundamentals,text/html; charset=utf-8,false,200,1282,<truncated>,8584,16877290744217165620,"Visualize your asset distribution across stocks, bonds, cash, and crypto. Is your portfolio exposed to hidden risks?",Portfolio Allocation Calculator,0,true
20,https://westmountfundamentals.com/what-are-esg-stocks,What Are ESG Stocks? A Beginner's Guide,text/html; charset=utf-8,false,200,2874,<truncated>,19458,15060169922995104029,Curious if your portfolio aligns with your values? Discover the core criteria behind ESG stocks and why sustainable investing is reshaping Wall Street.,What Are ESG Stocks?,0,true
