#,Keyword,Country,Difficulty,Volume,CPC,CPS,Parent Keyword,Last Update,SERP Features,Global volume,Traffic potential,Global traffic potential,First seen,Intents,Languages,SV trend (03-2024 - 02-2026),SV Forecasting trend (03-2026 - 03-2027)
1,best dividend etf,us,21,8300,0.90,1.31,dividend etf,2026-03-08 23:19:30,"AI Overview,Video preview,Thumbnail,People also ask,Discussions,Top stories",12000,2700,2800,2015-09-01,"Informational,Commercial,Non-branded,Non-local",English,"8725, 8377, 8233, 8229, 8258, 7895, 7298, 7500, 7259, 7907, 8922, 8327, 8956, 8603, 8464, 8461, 8506, 8123, 7520, 7721, 7497, 8156, 9163, 8563","9195, 8841, 8703, 8699, 8746, 8361, 7756, 7959, 7735, 8397, 9408, 8806, 9442"
2,dividend etf,us,29,8000,1.00,1.13,vym,2026-03-10 06:11:08,"AI Overview,Thumbnail,Video preview,Top stories,People also ask",13000,48000,52000,2015-09-01,"Informational,Commercial,Non-branded,Non-local",English,"8331, 7933, 7906, 7940, 7760, 7536, 7093, 7138, 7091, 7840, 8696, 8426, 8553, 8150, 8127, 8159, 7982, 7757, 7315, 7360, 7314, 8063, 8920, 8651","8778, 8375, 8354, 8385, 8209, 7984, 7543, 7589, 7543, 8292, 9151, 8881, 9009"
3,high dividend etf,us,39,6500,1.30,1.19,vym,2026-03-04 13:09:49,"AI Overview,Video preview,Thumbnail,Top stories,People also ask,Sitelinks",12000,50000,53000,2015-09-01,"Informational,Commercial,Non-branded,Non-local",English,"6755, 6516, 6393, 6299, 6334, 6153, 5669, 5565, 5622, 6005, 7159, 7110, 6995, 6744, 6630, 6531, 6570, 6388, 5906, 5802, 5860, 6243, 7399, 7350","7236, 6986, 6872, 6774, 6814, 6633, 6152, 6048, 6107, 6491, 7647, 7599, 7486"
4,schwab us dividend equity etf,us,17,4900,0.45,0.76,schd,2026-03-12 08:02:37,"AI Overview,Thumbnail,Video preview,People also ask,Top stories",6200,159000,190000,2015-09-04,"Informational,Branded,Non-local",English,"1652, 1340, 1581, 1631, 1671, 1689, 1345, 2552, 2386, 2985, 5742, 5872, 3050, 9957, 2879, 4147, 3460, 3432, 6448, 4292, 4108, 6118, 5697, 5657","5768, 6257, 5587, 5915, 5853, 5852, 6179, 6280, 6322, 6628, 7059, 7019, 7130"
5,monthly dividend etf,us,8,4100,1.30,1.36,etfs that pay monthly dividends,2026-03-10 03:13:25,"AI Overview,Thumbnail,Video preview,Sitelinks,People also ask,Top stories",4800,700,700,2015-10-06,"Informational,Non-branded,Non-local",English,"4027, 3797, 3985, 3814, 3946, 3781, 3535, 3381, 3392, 3770, 4037, 3924, 3940, 4145, 4333, 4162, 4294, 4129, 3883, 3729, 3739, 4118, 4384, 4272","4288, 4493, 4680, 4509, 4642, 4477, 4231, 4077, 4087, 4466, 4732, 4620, 4636"
6,vanguard high dividend yield etf,us,27,3600,1.00,0.85,vym,2026-03-11 23:54:02,"AI Overview,Thumbnail,Video preview,People also ask,Top stories",6200,45000,50000,2015-09-02,"Informational,Branded,Non-local",English,"4112, 3691, 3383, 3781, 3432, 3499, 3049, 2657, 3009, 3502, 4140, 4507, 4120, 3699, 3391, 3789, 3440, 3508, 3057, 2665, 3018, 3511, 4148, 4515","4129, 3707, 3399, 3797, 3449, 3516, 3066, 2674, 3026, 3519, 4156, 4523, 4137"
7,msty etf dividend yield,us,,3500,,,,,,3600,,,2024-10-28,,,"0, 0, 0, 0, 0, 0, 0, 1, 4, 1, 2, 3, 753, 6347, 22638, 4531, 1876, 2070, 1868, 1111, 194, 33, 163, 57",0
8,vanguard dividend etf,us,31,3100,0.10,0.95,vym,2026-03-09 13:16:10,"AI Overview,Thumbnail,People also ask,Top stories,Video preview",3800,47000,51000,2015-09-01,"Informational,Commercial,Branded,Non-local",English,"3952, 3060, 3116, 2969, 2943, 2992, 2658, 2663, 2680, 3081, 3582, 3408, 3579, 3135, 3192, 3045, 3018, 3068, 2734, 2738, 2755, 3156, 3658, 3483","3654, 3211, 3267, 3120, 3094, 3143, 2809, 2814, 2831, 3232, 3733, 3559, 3729"
9,best monthly dividend etf,us,10,2700,1.50,1.17,high yield etf,2026-03-09 18:27:55,"AI Overview,Thumbnail,Video preview,People also ask,Sitelinks",3200,13000,16000,2015-09-16,"Informational,Commercial,Non-branded,Non-local",English,"2710, 2264, 2319, 2335, 2816, 2364, 2711, 4632, 2825, 2887, 3464, 2877, 2923, 2788, 2942, 3306, 4070, 2811, 2316, 2320, 1727, 2303, 2551, 2266","2433, 2267, 2340, 2365, 2590, 2009, 2003, 2445, 1885, 2285, 2560, 2275, 2442"
10,dividend aristocrats etf,us,11,2300,0.90,1.18,nobl etf,2026-03-06 19:40:29,"People also ask,Knowledge panel,Video preview",3600,5200,6700,2015-09-06,"Informational,Non-branded,Non-local",English,"2406, 2368, 2097, 2074, 2279, 1987, 1986, 1823, 1729, 2193, 3028, 2544, 2618, 2390, 2174, 2150, 2355, 2064, 2063, 1900, 1807, 2271, 3106, 2622","2696, 2469, 2252, 2229, 2435, 2143, 2143, 1980, 1887, 2351, 3187, 2702, 2777"
