#,Keyword,Country,Difficulty,Volume,CPC,CPS,Parent Keyword,Last Update,SERP Features,Global volume,Traffic potential,Global traffic potential,First seen,Intents,Languages,SV trend (03-2024 - 02-2026),SV Forecasting trend (03-2026 - 03-2027),Category
1,cost of equity calculator,us,3,450,0.15,1.38,cost of equity calculator,2026-02-28 10:33:20,"People also ask,AI Overview,Thumbnail,Video preview,Sitelinks",900,600,800,2015-09-13,"Informational,Non-branded,Non-local",English,"812, 1276, 691, 384, 447, 446, 519, 782, 956, 807, 420, 634, 626, 775, 439, 292, 354, 294, 422, 518, 520, 540, 425, 484","539, 721, 525, 318, 303, 282, 311, 435, 474, 458, 297, 334, 367",Finance/Investing/Stocks and Bonds
2,startup equity calculator,us,18,300,1.40,1.69,startup equity calculator,2026-03-04 14:14:56,"Sitelinks,Video preview",500,500,600,2015-09-08,"Informational,Non-branded,Non-local",English,"413, 410, 416, 420, 353, 351, 300, 416, 585, 289, 344, 336, 343, 418, 296, 283, 273, 271, 237, 288, 221, 274, 268, 279","283, 283, 268, 264, 238, 249, 266, 274, 275, 254, 268, 279, 283",Finance/Investing
3,debt to equity ratio calculator,us,7,250,1.10,1.11,debt to equity ratio,2026-02-25 12:51:38,"People also ask,Video preview",500,12000,16000,2015-09-14,"Informational,Non-branded,Non-local",English,"554, 633, 446, 310, 304, 299, 546, 607, 1904, 886, 1015, 446, 364, 368, 253, 241, 239, 201, 266, 190, 178, 200, 220, 258","240, 250, 214, 160, 149, 147, 222, 231, 373, 257, 218, 255, 238",Finance/Financial Planning and Management
4,private equity funds list,us,10,200,2.50,,top private equity firms,2026-03-09 15:58:57,"AI Overview,Thumbnail,Sitelinks,People also ask,Video preview",450,7200,10000,2016-10-05,"Informational,Non-branded,Non-local",English,,,Finance/Investing/Funds
5,forgivable equity builder loan,us,0,200,2.50,,forgivable equity builder loan,2026-03-07 17:38:24,"AI Overview,Video preview,Thumbnail,People also ask,Sitelinks",200,100,100,2022-04-09,"Informational,Branded,Non-local",English,,,Finance/Credit and Lending/Loans; Real Estate
6,gift of equity calculator,us,0,200,1.70,,gift of equity calculator,2026-02-21 15:21:13,"AI Overview,Thumbnail,Video preview,People also ask,Sitelinks",200,100,100,2017-03-07,"Informational,Non-branded,Non-local",English,"260, 216, 211, 216, 216, 184, 221, 153, 143, 127, 183, 221, 278, 226, 227, 182, 203, 166, 162, 147, 112, 113, 158, 179","209, 191, 162, 155, 158, 154, 157, 143, 134, 125, 160, 181, 211",Finance; Real Estate
7,heloc vs home equity loan calculator,us,9,200,3.50,,heloc calculator,2025-12-30 09:45:33,"AI Overview,Sitelinks,People also ask,Bottom ads,Paid sitelinks",200,700,700,2016-03-03,"Informational,Non-branded,Non-local",English,"133, 161, 134, 111, 212, 203, 480, 278, 120, 116, 142, 117, 177, 171, 122, 124, 223, 271, 183, 190, 188, 156, 163, 153","163, 160, 146, 136, 151, 159, 171, 138, 114, 108, 112, 104, 115",Finance/Credit and Lending/Loans
8,pay off home equity loan early calculator,us,5,150,1.90,,heloc payoff calculator,2026-01-05 19:35:33,People also ask,200,900,900,2016-09-05,"Informational,Non-branded,Non-local",English,"228, 224, 226, 229, 231, 194, 241, 164, 192, 194, 240, 192, 239, 189, 195, 154, 208, 135, 151, 129, 106, 90, 137, 132","133, 119, 118, 120, 125, 117, 126, 122, 114, 106, 142, 138, 139",Finance/Credit and Lending/Loans
9,equity dilution calculator,us,0,150,3.50,2.26,equity dilution calculator,2026-02-27 03:06:31,People also ask,300,150,250,2016-01-14,"Informational,Non-branded,Non-local",English,"169, 203, 247, 244, 141, 177, 101, 150, 159, 142, 177, 146, 152, 143, 146, 127, 129, 128, 130, 127, 126, 113, 117, 122","122, 123, 122, 126, 110, 121, 113, 134, 125, 113, 117, 122, 122",Finance/Financial Planning and Management/Asset and Portfolio Management
10,equity curve simulator,us,0,150,3.00,,equity curve simulator,2026-03-07 15:40:02,Sitelinks,1600,20,150,2017-01-12,"Informational,Non-branded,Non-local",English,,,Finance/Investing/Brokerages and Day Trading
