#,Keyword,Country,Difficulty,Volume,CPC,CPS,Parent Keyword,Last Update,SERP Features,Global volume,Traffic potential,Global traffic potential,First seen,Intents,Languages,SV trend (03-2024 - 02-2026),SV Forecasting trend (03-2026 - 03-2027)
1,vanguard total stock market etf vti expense ratio,us,,1300,,,,,,1600,,,2025-03-10,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 66, 266, 394, 268, 321, 1129, 1271, 1485, 1426, 2791, 5033, 1672",0
2,vanguard s&p 500 etf voo expense ratio,us,,1100,,,,,,1300,,,2025-02-04,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 107, 608, 918, 715, 867, 1141, 1325, 1273, 862, 1823, 2826, 989",0
3,what is expense ratio in etf,us,18,900,0.02,,expense ratio,2026-02-27 20:28:30,"AI Overview,Thumbnail,Video preview,People also ask,Sitelinks,Top stories",1600,11000,13000,2017-04-05,"Informational,Non-branded,Non-local",English,"1010, 807, 780, 799, 984, 807, 690, 778, 987, 989, 1144, 903, 960, 967, 669, 730, 929, 810, 772, 1191, 818, 1006, 1102, 1051","1030, 971, 902, 896, 941, 907, 846, 856, 880, 927, 1026, 988, 958"
4,vanguard total bond market etf bnd expense ratio,us,,800,,,,,,1000,,,2025-03-21,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 213, 239, 166, 239, 678, 789, 773, 803, 1675, 3273, 952",0
5,etf expense ratio,us,32,700,0.02,0.8,what is expense ratio in etf,2026-02-24 21:52:50,"AI Overview,Thumbnail,Video preview,People also ask,Sitelinks",1300,1500,1600,2015-09-05,"Informational,Non-branded,Non-local",English,"1373, 1131, 919, 927, 947, 927, 770, 797, 921, 920, 1121, 877, 714, 668, 463, 600, 760, 688, 579, 712, 605, 682, 866, 846","876, 824, 641, 688, 701, 684, 605, 623, 609, 687, 863, 844, 875"
6,ishares core s&p 500 etf ivv expense ratio,us,,700,,,,,,900,,,2025-03-09,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 65, 320, 484, 262, 460, 908, 765, 889, 627, 1077, 2152, 715",0
7,vaneck semiconductor etf smh expense ratio,us,,700,,,,,,1000,,,2025-02-27,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 42, 184, 303, 197, 302, 636, 603, 559, 265, 1217, 2704, 1207",0
8,bbh etf expense ratio 2023,us,,600,,,,,,600,,,2025-03-10,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 288, 424, 810, 739, 841, 700, 751, 772, 757, 510, 62, 30",0
9,smh etf expense ratio,us,18,600,,,smh stock,2026-03-02 19:29:57,"AI Overview,Thumbnail,Video preview,People also ask,Sitelinks",800,5300,6300,2017-11-15,"Informational,Branded,Non-local",English,"176, 113, 103, 179, 170, 100, 73, 80, 78, 73, 114, 50, 54, 207, 365, 359, 446, 547, 921, 822, 465, 584, 1606, 799",0
10,vanguard total world stock etf vt expense ratio,us,,600,,,,,,800,,,2025-03-16,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 76, 283, 123, 135, 564, 706, 322, 115, 1092, 2537, 986",0
11,spy etf expense ratio,us,26,500,2.50,,spy expense ratio,2026-03-14 22:31:08,"AI Overview,Thumbnail,Video preview,People also ask,Sitelinks,Top stories",700,400,400,2015-12-27,"Informational,Branded,Non-local",English,"401, 326, 327, 398, 489, 395, 268, 395, 396, 490, 830, 408, 436, 601, 633, 563, 648, 502, 523, 606, 423, 406, 549, 497","508, 481, 487, 484, 493, 480, 453, 472, 476, 497, 566, 515, 526"
12,schd etf expense ratio,us,,500,,,,,,600,,,2021-05-08,,,"15, 11, 27, 13, 25, 31, 31, 24, 40, 26, 65, 28, 118, 528, 936, 376, 264, 500, 564, 577, 350, 333, 1321, 335",0
13,qqqm etf expense ratio,us,,450,,,,,,600,,,2023-05-27,,,"27, 20, 24, 29, 27, 16, 9, 28, 30, 25, 41, 24, 60, 342, 542, 289, 253, 459, 620, 674, 298, 534, 977, 192",0
14,gld etf expense ratio,us,,450,,,,,,500,,,2017-01-29,"Informational,Branded,Non-local",English,"27, 50, 19, 31, 17, 31, 21, 67, 84, 52, 65, 102, 163, 457, 416, 265, 198, 284, 857, 1307, 245, 260, 962, 139",0
15,vanguard s&p 500 etf voo expense ratio 2025,us,,450,,,,,,450,,,2025-04-14,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 138, 605, 421, 208, 717, 1050, 770, 1091, 91, 6",0
16,invesco nasdaq 100 etf qqqm expense ratio,us,,450,,,,,,600,,,2022-12-14,,,"2, 1, 0, 3, 3, 1, 0, 0, 0, 0, 5, 0, 18, 50, 87, 51, 125, 286, 251, 287, 300, 1264, 2146, 293",0
17,spdr s&p 500 etf trust spy expense ratio,us,,450,,,,,,500,,,2025-03-19,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 245, 440, 366, 425, 421, 502, 458, 369, 542, 1000, 641",0
18,ibit etf expense ratio,us,50,450,,,ibit stock,2026-02-17 10:17:43,"AI Overview,Thumbnail,People also ask,Video preview",500,50000,105000,2024-01-11,"Informational,Branded,Non-local",English,"123, 37, 22, 16, 48, 32, 10, 21, 177, 153, 106, 49, 146, 246, 595, 354, 580, 603, 711, 691, 440, 351, 628, 145",0
19,qqq etf expense ratio,us,50,450,1.40,,qqq,2026-02-21 19:06:04,"AI Overview,Thumbnail,Video preview,People also ask,Sitelinks",700,458000,530000,2017-11-15,"Informational,Branded,Non-local",English,"245, 200, 197, 202, 203, 160, 131, 200, 203, 247, 644, 241, 223, 402, 500, 499, 507, 446, 544, 481, 380, 340, 458, 393","405, 395, 398, 397, 389, 376, 369, 379, 370, 391, 452, 387, 399"
20,ishares semiconductor etf soxx expense ratio,us,,400,,,,,,500,,,2025-04-04,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 79, 123, 93, 117, 533, 498, 458, 202, 615, 1384, 413",0
21,schwab u.s. broad market etf schb expense ratio,us,,400,,,,,,450,,,2025-04-20,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 52, 48, 52, 396, 404, 631, 571, 924, 1505, 250",0
22,voo etf expense ratio,us,17,400,1.70,,voo,2026-03-06 19:53:20,"AI Overview,Thumbnail,Video preview,People also ask,Sitelinks,Top stories",500,621000,744000,2017-02-11,"Informational,Branded,Non-local",English,"193, 127, 125, 125, 178, 180, 177, 138, 211, 210, 266, 268, 184, 305, 407, 359, 472, 415, 501, 540, 428, 352, 387, 382","376, 365, 370, 363, 369, 364, 357, 349, 355, 360, 376, 371, 365"
23,sgov etf expense ratio,us,,350,,,,,,400,,,2023-09-14,,,"0, 0, 0, 0, 5, 3, 8, 3, 8, 17, 30, 23, 80, 349, 654, 414, 379, 417, 383, 372, 205, 410, 662, 124",0
24,invesco preferred etf pgx expense ratio,us,,350,,,,,,350,,,2025-03-23,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 75, 25, 575, 800, 598, 327, 623, 833, 234, 44, 103, 53",0
25,iau etf expense ratio,us,,350,,,,,,450,,,2019-11-04,,,"15, 32, 22, 10, 5, 12, 23, 14, 22, 27, 26, 48, 72, 304, 266, 138, 155, 180, 507, 882, 263, 260, 723, 245",0
26,expense ratio etf,us,38,300,0.02,0.67,what is expense ratio in etf,2026-03-01 16:08:35,"AI Overview,Thumbnail,Video preview,People also ask,Sitelinks",700,1500,1600,2015-10-14,"Informational,Non-branded,Non-local",English,"634, 516, 408, 418, 428, 414, 349, 352, 403, 410, 484, 382, 343, 332, 229, 278, 347, 320, 300, 336, 299, 310, 384, 396","422, 382, 306, 297, 323, 306, 270, 263, 254, 291, 349, 359, 382"
27,splg etf expense ratio,us,,300,,,,,,350,,,2023-12-25,,,"14, 27, 9, 6, 19, 12, 16, 9, 9, 17, 42, 14, 47, 195, 433, 169, 148, 317, 628, 597, 123, 112, 517, 95",0
28,what is a good expense ratio for an etf,us,25,300,0.03,0.77,etf expense ratio,2026-03-06 22:24:36,"AI Overview,Thumbnail,Video preview,People also ask,Discussions,Sitelinks",350,1600,1800,2015-10-20,"Informational,Non-branded,Non-local",English,"392, 384, 318, 314, 393, 325, 316, 323, 326, 387, 475, 456, 320, 317, 260, 303, 393, 323, 324, 385, 305, 305, 332, 319","309, 325, 309, 320, 342, 322, 310, 318, 310, 333, 357, 344, 334"
29,spdr portfolio s&p 500 etf splg expense ratio,us,,250,,,,,,300,,,2025-04-05,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 91, 142, 89, 67, 225, 270, 268, 176, 384, 1023, 296",0
30,vanguard real estate etf vnq expense ratio,us,,250,,,,,,300,,,2025-03-25,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 101, 187, 76, 128, 204, 317, 384, 219, 444, 834, 228",0
31,vanguard growth etf vug expense ratio,us,,250,,,,,,250,,,2025-03-24,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16, 38, 87, 105, 52, 278, 295, 182, 529, 990, 124",0
32,ishares core s&p 500 etf ivv expense ratio 2025,us,,250,,,,,,250,,,2025-04-22,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 136, 209, 287, 309, 371, 479, 468, 382, 38, 7",0
33,mags etf expense ratio,us,,250,1.50,,,,,300,,,2023-12-03,,,"72, 56, 69, 126, 159, 43, 43, 73, 125, 371, 372, 100, 210, 228, 188, 184, 124, 177, 347, 304, 271, 315, 252, 235","202, 196, 167, 165, 146, 125, 117, 105, 98, 121, 110, 81, 77"
