Keyword,URL,Country,Difficulty,Volume,CPS,Parent Topic,Parent Topic Volume,Last Update,Referring Domains,Domain rating,Ahrefs Rank,Traffic,Keywords,CPC,Position,Type,Title,Global volume,Traffic potential,Global traffic potential,First seen,Intents,Languages,Page type,SV trend (03-2024 - 02-2026),SV Forecasting trend (03-2026 - 03-2027)
large cap stocks list,,us,52,100,1.21,list of large cap stocks,60,2025-11-12 09:21:26,,,,,,1.40,1,AI Overview,,2300,300,400,2015-12-07,"Informational,Non-branded,Non-local",English,,"100, 90, 55, 68, 105, 100, 97, 111, 117, 165, 200, 135, 141, 135, 118, 77, 77, 93, 95, 81, 77, 89, 110, 105","123, 114, 101, 94, 97, 92, 90, 86, 83, 89, 106, 102, 119"
large cap stocks list,https://www.ig.com/en/trading-strategies/best-large-cap-stocks-to-watch-in-2025-250115,us,52,100,1.21,list of large cap stocks,60,2025-11-12 09:21:26,,,,,,1.40,1,"AI Overview, Thumbnail",Best large cap stocks to watch in 2025 - IG Group,2300,300,400,2015-12-07,"Informational,Non-branded,Non-local",English,,"100, 90, 55, 68, 105, 100, 97, 111, 117, 165, 200, 135, 141, 135, 118, 77, 77, 93, 95, 81, 77, 89, 110, 105","123, 114, 101, 94, 97, 92, 90, 86, 83, 89, 106, 102, 119"
large cap stocks list,https://www.investopedia.com/terms/l/large-cap.asp,us,52,100,1.21,list of large cap stocks,60,2025-11-12 09:21:26,,,,,,1.40,1,"AI Overview, Thumbnail","Large-Cap Stocks: Definition, Benefits, and Investment Tips",2300,300,400,2015-12-07,"Informational,Non-branded,Non-local",English,,"100, 90, 55, 68, 105, 100, 97, 111, 117, 165, 200, 135, 141, 135, 118, 77, 77, 93, 95, 81, 77, 89, 110, 105","123, 114, 101, 94, 97, 92, 90, 86, 83, 89, 106, 102, 119"
large cap stocks list,https://www.marketbeat.com/instant-alerts/large-cap-stocks-to-add-to-your-watchlist-november-8th-2025-11-08/,us,52,100,1.21,list of large cap stocks,60,2025-11-12 09:21:26,,,,,,1.40,1,"AI Overview, Thumbnail",Large Cap Stocks To Add to Your Watchlist - November 8th,2300,300,400,2015-12-07,"Informational,Non-branded,Non-local",English,,"100, 90, 55, 68, 105, 100, 97, 111, 117, 165, 200, 135, 141, 135, 118, 77, 77, 93, 95, 81, 77, 89, 110, 105","123, 114, 101, 94, 97, 92, 90, 86, 83, 89, 106, 102, 119"
large cap stocks list,https://stockanalysis.com/list/large-cap-stocks/,us,52,100,1.21,list of large cap stocks,60,2025-11-12 09:21:26,4,73,51618,150,64,1.40,2,Organic,List of Large-Cap Stocks ($10B - $200B Market Cap),2300,300,400,2015-12-07,"Informational,Non-branded,Non-local",English,,"100, 90, 55, 68, 105, 100, 97, 111, 117, 165, 200, 135, 141, 135, 118, 77, 77, 93, 95, 81, 77, 89, 110, 105","123, 114, 101, 94, 97, 92, 90, 86, 83, 89, 106, 102, 119"
large cap stocks list,https://www.tradingview.com/markets/stocks-usa/market-movers-large-cap/,us,52,100,1.21,list of large cap stocks,60,2025-11-12 09:21:26,232,91,738,3944,253,1.40,3,Organic,Large Cap (Big Cap) Stocks — USA,2300,300,400,2015-12-07,"Informational,Non-branded,Non-local",English,,"100, 90, 55, 68, 105, 100, 97, 111, 117, 165, 200, 135, 141, 135, 118, 77, 77, 93, 95, 81, 77, 89, 110, 105","123, 114, 101, 94, 97, 92, 90, 86, 83, 89, 106, 102, 119"
large cap stocks list,https://www.screener.in/screens/302724/large-cap-stocks/,us,52,100,1.21,list of large cap stocks,60,2025-11-12 09:21:26,1,71,83335,6,4,1.40,4,Organic,Large cap stocks,2300,300,400,2015-12-07,"Informational,Non-branded,Non-local",English,,"100, 90, 55, 68, 105, 100, 97, 111, 117, 165, 200, 135, 141, 135, 118, 77, 77, 93, 95, 81, 77, 89, 110, 105","123, 114, 101, 94, 97, 92, 90, 86, 83, 89, 106, 102, 119"
large cap stocks list,,us,52,100,1.21,list of large cap stocks,60,2025-11-12 09:21:26,,,,,,1.40,5,People also ask,What are large-cap stocks?,2300,300,400,2015-12-07,"Informational,Non-branded,Non-local",English,,"100, 90, 55, 68, 105, 100, 97, 111, 117, 165, 200, 135, 141, 135, 118, 77, 77, 93, 95, 81, 77, 89, 110, 105","123, 114, 101, 94, 97, 92, 90, 86, 83, 89, 106, 102, 119"
large cap stocks list,,us,52,100,1.21,list of large cap stocks,60,2025-11-12 09:21:26,,,,,,1.40,5,People also ask,What are the best large-cap stocks to buy now?,2300,300,400,2015-12-07,"Informational,Non-branded,Non-local",English,,"100, 90, 55, 68, 105, 100, 97, 111, 117, 165, 200, 135, 141, 135, 118, 77, 77, 93, 95, 81, 77, 89, 110, 105","123, 114, 101, 94, 97, 92, 90, 86, 83, 89, 106, 102, 119"
large cap stocks list,,us,52,100,1.21,list of large cap stocks,60,2025-11-12 09:21:26,,,,,,1.40,5,People also ask,What are the 7 stocks to buy and hold forever?,2300,300,400,2015-12-07,"Informational,Non-branded,Non-local",English,,"100, 90, 55, 68, 105, 100, 97, 111, 117, 165, 200, 135, 141, 135, 118, 77, 77, 93, 95, 81, 77, 89, 110, 105","123, 114, 101, 94, 97, 92, 90, 86, 83, 89, 106, 102, 119"
large cap stocks list,,us,52,100,1.21,list of large cap stocks,60,2025-11-12 09:21:26,,,,,,1.40,5,People also ask,Which top 5 stocks to buy today?,2300,300,400,2015-12-07,"Informational,Non-branded,Non-local",English,,"100, 90, 55, 68, 105, 100, 97, 111, 117, 165, 200, 135, 141, 135, 118, 77, 77, 93, 95, 81, 77, 89, 110, 105","123, 114, 101, 94, 97, 92, 90, 86, 83, 89, 106, 102, 119"
large cap stocks list,https://finance.yahoo.com/research-hub/screener/undervalued_large_caps/,us,52,100,1.21,list of large cap stocks,60,2025-11-12 09:21:26,1,94,89,45,5,1.40,6,Organic,Top Undervalued Large Caps List | Screener,2300,300,400,2015-12-07,"Informational,Non-branded,Non-local",English,,"100, 90, 55, 68, 105, 100, 97, 111, 117, 165, 200, 135, 141, 135, 118, 77, 77, 93, 95, 81, 77, 89, 110, 105","123, 114, 101, 94, 97, 92, 90, 86, 83, 89, 106, 102, 119"
large cap stocks list,https://companiesmarketcap.com/usa/largest-companies-in-the-usa-by-market-cap/,us,52,100,1.21,list of large cap stocks,60,2025-11-12 09:21:26,559,78,18711,7625,1044,1.40,7,Organic,Largest American companies by market capitalization,2300,300,400,2015-12-07,"Informational,Non-branded,Non-local",English,,"100, 90, 55, 68, 105, 100, 97, 111, 117, 165, 200, 135, 141, 135, 118, 77, 77, 93, 95, 81, 77, 89, 110, 105","123, 114, 101, 94, 97, 92, 90, 86, 83, 89, 106, 102, 119"
large cap stocks list,https://www.marketbeat.com/types-of-stock/large-cap-stocks/,us,52,100,1.21,list of large cap stocks,60,2025-11-12 09:21:26,67,75,38441,13,6,1.40,8,Organic,Large Cap Stocks List 2025,2300,300,400,2015-12-07,"Informational,Non-branded,Non-local",English,,"100, 90, 55, 68, 105, 100, 97, 111, 117, 165, 200, 135, 141, 135, 118, 77, 77, 93, 95, 81, 77, 89, 110, 105","123, 114, 101, 94, 97, 92, 90, 86, 83, 89, 106, 102, 119"
large cap stocks list,https://en.wikipedia.org/wiki/List_of_public_corporations_by_market_capitalization,us,52,100,1.21,list of large cap stocks,60,2025-11-12 09:21:26,774,97,15,15156,983,1.40,9,Organic,List of public corporations by market capitalization,2300,300,400,2015-12-07,"Informational,Non-branded,Non-local",English,,"100, 90, 55, 68, 105, 100, 97, 111, 117, 165, 200, 135, 141, 135, 118, 77, 77, 93, 95, 81, 77, 89, 110, 105","123, 114, 101, 94, 97, 92, 90, 86, 83, 89, 106, 102, 119"
large cap stocks list,https://en.wikipedia.org/wiki/List_of_largest_corporate_profits_and_losses,us,52,100,1.21,list of large cap stocks,60,2025-11-12 09:21:26,,,,,,1.40,9,Sitelinks,List of largest corporate profits...,2300,300,400,2015-12-07,"Informational,Non-branded,Non-local",English,,"100, 90, 55, 68, 105, 100, 97, 111, 117, 165, 200, 135, 141, 135, 118, 77, 77, 93, 95, 81, 77, 89, 110, 105","123, 114, 101, 94, 97, 92, 90, 86, 83, 89, 106, 102, 119"
large cap stocks list,https://en.wikipedia.org/wiki/Broadcom,us,52,100,1.21,list of large cap stocks,60,2025-11-12 09:21:26,,,,,,1.40,9,Sitelinks,Broadcom,2300,300,400,2015-12-07,"Informational,Non-branded,Non-local",English,,"100, 90, 55, 68, 105, 100, 97, 111, 117, 165, 200, 135, 141, 135, 118, 77, 77, 93, 95, 81, 77, 89, 110, 105","123, 114, 101, 94, 97, 92, 90, 86, 83, 89, 106, 102, 119"
large cap stocks list,https://en.wikipedia.org/wiki/Eli_Lilly_and_Company,us,52,100,1.21,list of large cap stocks,60,2025-11-12 09:21:26,,,,,,1.40,9,Sitelinks,Eli Lilly and Company,2300,300,400,2015-12-07,"Informational,Non-branded,Non-local",English,,"100, 90, 55, 68, 105, 100, 97, 111, 117, 165, 200, 135, 141, 135, 118, 77, 77, 93, 95, 81, 77, 89, 110, 105","123, 114, 101, 94, 97, 92, 90, 86, 83, 89, 106, 102, 119"
large cap stocks list,https://en.wikipedia.org/wiki/PetroChina,us,52,100,1.21,list of large cap stocks,60,2025-11-12 09:21:26,,,,,,1.40,9,Sitelinks,PetroChina,2300,300,400,2015-12-07,"Informational,Non-branded,Non-local",English,,"100, 90, 55, 68, 105, 100, 97, 111, 117, 165, 200, 135, 141, 135, 118, 77, 77, 93, 95, 81, 77, 89, 110, 105","123, 114, 101, 94, 97, 92, 90, 86, 83, 89, 106, 102, 119"
large cap stocks list,https://www.morningstar.com/stock-styles/large-growth,us,52,100,1.21,list of large cap stocks,60,2025-11-12 09:21:26,6,88,2661,629,21,1.40,10,Organic,Large Growth Stock Style,2300,300,400,2015-12-07,"Informational,Non-branded,Non-local",English,,"100, 90, 55, 68, 105, 100, 97, 111, 117, 165, 200, 135, 141, 135, 118, 77, 77, 93, 95, 81, 77, 89, 110, 105","123, 114, 101, 94, 97, 92, 90, 86, 83, 89, 106, 102, 119"
large cap stocks list,https://www.tradingview.com/markets/stocks-india/market-movers-large-cap/,us,52,100,1.21,list of large cap stocks,60,2025-11-12 09:21:26,,,,,,1.40,11,Organic,Large cap Indian companies - Stocks,2300,300,400,2015-12-07,"Informational,Non-branded,Non-local",English,,"100, 90, 55, 68, 105, 100, 97, 111, 117, 165, 200, 135, 141, 135, 118, 77, 77, 93, 95, 81, 77, 89, 110, 105","123, 114, 101, 94, 97, 92, 90, 86, 83, 89, 106, 102, 119"
large cap stocks list,https://www.tradingview.com/markets/stocks-india/market-movers-small-cap/,us,52,100,1.21,list of large cap stocks,60,2025-11-12 09:21:26,,,,,,1.40,11,Sitelinks,Small-cap,2300,300,400,2015-12-07,"Informational,Non-branded,Non-local",English,,"100, 90, 55, 68, 105, 100, 97, 111, 117, 165, 200, 135, 141, 135, 118, 77, 77, 93, 95, 81, 77, 89, 110, 105","123, 114, 101, 94, 97, 92, 90, 86, 83, 89, 106, 102, 119"
large cap stocks list,https://www.tradingview.com/symbols/NSE-LT/,us,52,100,1.21,list of large cap stocks,60,2025-11-12 09:21:26,,,,,,1.40,11,Sitelinks,NSE:LT,2300,300,400,2015-12-07,"Informational,Non-branded,Non-local",English,,"100, 90, 55, 68, 105, 100, 97, 111, 117, 165, 200, 135, 141, 135, 118, 77, 77, 93, 95, 81, 77, 89, 110, 105","123, 114, 101, 94, 97, 92, 90, 86, 83, 89, 106, 102, 119"
large cap stocks list,https://www.tradingview.com/symbols/NSE-DLF/,us,52,100,1.21,list of large cap stocks,60,2025-11-12 09:21:26,,,,,,1.40,11,Sitelinks,DLF Limited,2300,300,400,2015-12-07,"Informational,Non-branded,Non-local",English,,"100, 90, 55, 68, 105, 100, 97, 111, 117, 165, 200, 135, 141, 135, 118, 77, 77, 93, 95, 81, 77, 89, 110, 105","123, 114, 101, 94, 97, 92, 90, 86, 83, 89, 106, 102, 119"
