#,Keyword,Country,Difficulty,Volume,CPC,CPS,Parent Keyword,Last Update,SERP Features,Global volume,Traffic potential,Global traffic potential,First seen,Intents,Languages,SV trend (03-2024 - 02-2026),SV Forecasting trend (03-2026 - 03-2027)
1,options profit calculator,us,12,26000,1.30,1.3,options profit calculator,2026-03-08 18:03:32,"Sitelinks,Video preview",34000,67000,80000,2015-09-01,"Informational,Non-branded,Non-local",English,"40115, 27775, 33310, 41202, 32390, 31294, 23535, 27252, 35245, 31884, 29631, 29076, 25314, 32412, 26507, 23402, 28330, 27016, 25308, 30658, 21344, 16128, 27196, 31771","31539, 27566, 27625, 28826, 27634, 26403, 21738, 24088, 24491, 20549, 25330, 29578, 29350"
2,options calculator,us,29,20000,1.50,1.28,options profit calculator,2026-03-12 05:07:11,"Sitelinks,Video preview",27000,66000,79000,2015-09-01,"Informational,Non-branded,Non-local",English,"26235, 22756, 23536, 25000, 20941, 20910, 16957, 17851, 17391, 17413, 20754, 24579, 22988, 21438, 20321, 20802, 19489, 19876, 17571, 17797, 17338, 17359, 20691, 24504","22918, 21372, 20258, 20738, 19429, 19815, 17517, 17742, 17285, 17306, 20627, 24428, 22847"
3,stock options calculator,us,37,1900,1.40,1.4,options profit calculator,2026-02-28 13:07:22,"Sitelinks,People also ask",2200,66000,80000,2015-09-24,"Informational,Non-branded,Non-local",English,"2285, 2002, 1965, 1924, 1832, 1954, 1574, 1626, 1819, 1671, 2167, 2524, 2286, 2002, 1965, 1924, 1832, 1954, 1574, 1626, 1820, 1671, 2167, 2524","2286, 2002, 1965, 1924, 1832, 1954, 1574, 1626, 1820, 1671, 2167, 2524, 2286"
4,options chart,us,12,1200,2.00,0.7,options chart,2026-03-05 23:13:56,"Video preview,Sitelinks",1800,2500,3000,2015-09-15,"Informational,Non-branded,Non-local",English,"939, 926, 964, 981, 828, 840, 770, 930, 1119, 950, 954, 1109, 1123, 1156, 967, 943, 1188, 1370, 1345, 1621, 1316, 1114, 1241, 1234","1281, 1191, 1147, 1148, 1119, 1152, 1071, 1094, 1087, 1043, 1123, 1123, 1166"
5,options price calculator,us,44,900,0.70,1.38,options profit calculator,2026-03-10 01:57:14,"Sitelinks,Video preview",1400,66000,80000,2015-10-21,"Informational,Non-branded,Non-local",English,"1206, 982, 1224, 1024, 997, 1004, 691, 981, 1016, 1014, 1218, 1024, 833, 1244, 1036, 672, 868, 829, 847, 1072, 814, 574, 949, 996","1101, 967, 922, 844, 826, 858, 712, 753, 713, 681, 922, 968, 1070"
6,options trading simulator,us,19,900,2.00,1.23,day trading simulator,2026-03-04 16:58:24,"Sitelinks,People also ask,Top stories,Thumbnail,Video preview",1600,8700,11000,2015-09-06,"Informational,Non-branded,Non-local",English,"1928, 1316, 1524, 1919, 1566, 1582, 1289, 1310, 1901, 2228, 2258, 1320, 1266, 1321, 1099, 772, 880, 880, 1069, 886, 767, 591, 911, 914","924, 772, 713, 722, 686, 684, 627, 598, 647, 698, 861, 874, 891"
7,options screener,us,31,800,2.00,1.52,options screener,2026-03-09 15:09:57,"Sitelinks,Video preview",1300,1300,1500,2015-09-07,"Informational,Non-branded,Non-local",English,"1035, 829, 1012, 847, 842, 671, 624, 826, 819, 1003, 1026, 847, 657, 1145, 714, 680, 912, 759, 1073, 916, 650, 680, 686, 708","731, 692, 619, 635, 712, 704, 601, 657, 720, 719, 702, 725, 748"
8,options simulator,us,54,700,1.80,1.37,options profit calculator,2026-03-08 23:31:32,"Sitelinks,Video preview",1700,67000,80000,2015-09-12,"Informational,Non-branded,Non-local",English,"1072, 815, 835, 1075, 833, 824, 580, 719, 1254, 1040, 1061, 834, 744, 867, 787, 554, 779, 761, 636, 776, 560, 394, 690, 713","793, 671, 593, 606, 582, 583, 527, 515, 555, 528, 668, 691, 768"
9,options calculator profit,us,34,500,1.30,,options profit calculator,2026-03-04 05:24:00,"Sitelinks,Video preview",600,66000,80000,2016-03-29,"Informational,Non-branded,Non-local",English,"676, 578, 732, 787, 625, 594, 467, 560, 638, 635, 580, 570, 486, 597, 487, 383, 586, 547, 582, 705, 553, 349, 481, 558","554, 510, 497, 535, 532, 524, 418, 413, 438, 402, 481, 558, 554"
10,call options calculator,us,36,450,1.80,,options profit calculator,2026-03-02 10:38:19,Video preview,700,8500,12000,2016-05-05,"Informational,Non-branded,Non-local",English,"755, 408, 851, 1108, 735, 625, 415, 500, 760, 750, 730, 513, 405, 614, 500, 329, 507, 415, 416, 616, 396, 224, 398, 506","392, 375, 390, 408, 344, 399, 309, 314, 321, 300, 383, 491, 383"
