#,Keyword,Country,Difficulty,Volume,CPC,CPS,Parent Keyword,Last Update,SERP Features,Global volume,Traffic potential,Global traffic potential,First seen,Intents,Languages,SV trend (03-2024 - 02-2026),SV Forecasting trend (03-2026 - 03-2027)
1,dividend aristocrats etf,us,11,2300,0.90,1.18,nobl etf,2026-03-06 19:40:29,"People also ask,Knowledge panel,Video preview",3600,5200,6700,2015-09-06,"Informational,Non-branded,Non-local",English,"2406, 2368, 2097, 2074, 2279, 1987, 1986, 1823, 1729, 2193, 3028, 2544, 2618, 2390, 2174, 2150, 2355, 2064, 2063, 1900, 1807, 2271, 3106, 2622","2696, 2469, 2252, 2229, 2435, 2143, 2143, 1980, 1887, 2351, 3187, 2702, 2777"
2,proshares s&p 500 dividend aristocrats etf,us,6,250,1.40,1.04,nobl,2026-02-28 19:09:16,"AI Overview,Thumbnail,Video preview,People also ask",400,14000,15000,2015-09-02,"Informational,Branded,Non-local",English,"207, 1067, 158, 174, 182, 181, 179, 177, 179, 186, 284, 211, 229, 301, 227, 214, 224, 224, 223, 221, 224, 231, 330, 258","276, 349, 276, 264, 275, 276, 275, 275, 278, 286, 386, 315, 334"
3,dividends aristocrats etf,us,6,200,,,dividend aristocrats,2026-02-03 02:04:56,"People also ask,Knowledge panel",200,4200,5100,2016-02-25,"Informational,Non-branded,Non-local",English,,
4,dividend etf aristocrats,us,,150,,,,,,150,,,2020-02-07,,,,
5,s&p 500 dividend aristocrats etf,us,9,150,1.20,0.88,nobl,2026-02-25 14:26:59,"People also ask,Knowledge panel",300,14000,15000,2015-12-27,"Informational,Branded,Non-local",English,"130, 137, 105, 85, 89, 106, 91, 112, 133, 163, 161, 112, 198, 143, 111, 88, 110, 103, 111, 101, 161, 138, 170, 140","149, 130, 117, 112, 118, 117, 111, 111, 130, 149, 170, 140, 149"
6,best dividend aristocrats etf,us,23,100,0.90,,nobl,2026-01-08 04:28:47,"People also ask,Discussions",200,13000,14000,2016-01-19,"Informational,Commercial,Non-branded,Non-local",English,"100, 86, 81, 73, 64, 87, 187, 296, 100, 98, 114, 99, 120, 116, 113, 121, 121, 148, 101, 88, 171, 125, 136, 133","131, 132, 128, 129, 128, 133, 139, 147, 136, 136, 146, 143, 141"
7,spdr s&p global dividend aristocrats ucits etf,us,0,100,5.00,,spdr s&p global dividend aristocrats ucits etf,2026-03-04 11:11:36,People also ask,2000,10,10,2020-02-15,"Informational,Branded,Non-local",English,,
8,proshares s&p 500 dividend aristocrats etf (nobl),us,,100,,,,,,150,,,2016-10-08,,,,
9,etf dividend aristocrats,us,12,90,1.70,1.04,nobl etf,2026-03-08 08:07:50,"People also ask,Knowledge panel",500,5200,6700,2015-11-21,"Informational,Commercial,Non-branded,Non-local",English,,
10,dividend aristocrats etf list,us,10,90,2.00,,dividend aristocrat etfs,2026-02-22 12:12:48,"People also ask,Knowledge panel",100,450,500,2017-07-10,"Informational,Non-branded,Non-local",English,,
11,s&p dividend aristocrats etf,us,46,60,3.00,,nobl,2026-03-11 02:21:32,"People also ask,Knowledge panel",150,16000,17000,2016-02-11,"Informational,Branded,Non-local",English,,
12,spdr s&p euro dividend aristocrats ucits etf isin,us,,60,,,,,,80,,,2025-03-23,,,,
13,us dividend aristocrats etf,us,7,60,,,dividend aristocrats etf,,,300,,,2019-05-29,"Informational,Non-branded,Non-local",English,,
14,global dividend aristocrats etf,us,2,50,1.70,,dividend aristocrats,2026-02-12 02:09:14,People also ask,200,200,250,2015-11-21,"Informational,Branded,Non-local",English,,
15,spdr s&p global dividend aristocrats etf,us,,50,,,,,,200,,,2018-04-06,,,,
